"marca_tiempo";"hora_solar";"ocupantes_conteo_robus3";"temperatura_exterior";"temperatura_interior";"energia_agua_refrigerada";"radiacion_global_fachada";"setpoint_temperatura";"marca_tiempo_1";"marca_tiempo_2";"marca_tiempo_3";"marca_tiempo_4";"marca_tiempo_5";"marca_tiempo_6";"marca_tiempo_7";"marca_tiempo_8";"marca_tiempo_9";"marca_tiempo_10";"marca_tiempo_11";"marca_tiempo_12";"hora_solar_1";"hora_solar_2";"hora_solar_3";"hora_solar_4";"hora_solar_5";"hora_solar_6";"hora_solar_7";"hora_solar_8";"hora_solar_9";"hora_solar_10";"hora_solar_11";"hora_solar_12";"ocupantes_conteo_robus3_1";"ocupantes_conteo_robus3_2";"ocupantes_conteo_robus3_3";"ocupantes_conteo_robus3_4";"ocupantes_conteo_robus3_5";"ocupantes_conteo_robus3_6";"ocupantes_conteo_robus3_7";"ocupantes_conteo_robus3_8";"ocupantes_conteo_robus3_9";"ocupantes_conteo_robus3_10";"ocupantes_conteo_robus3_11";"ocupantes_conteo_robus3_12";"temperatura_exterior_1";"temperatura_exterior_2";"temperatura_exterior_3";"temperatura_exterior_4";"temperatura_exterior_5";"temperatura_exterior_6";"temperatura_exterior_7";"temperatura_exterior_8";"temperatura_exterior_9";"temperatura_exterior_10";"temperatura_exterior_11";"temperatura_exterior_12";"temperatura_interior_1";"temperatura_interior_2";"temperatura_interior_3";"temperatura_interior_4";"temperatura_interior_5";"temperatura_interior_6";"temperatura_interior_7";"temperatura_interior_8";"temperatura_interior_9";"temperatura_interior_10";"temperatura_interior_11";"temperatura_interior_12";"energia_agua_refrigerada_1";"energia_agua_refrigerada_2";"energia_agua_refrigerada_3";"energia_agua_refrigerada_4";"energia_agua_refrigerada_5";"energia_agua_refrigerada_6";"energia_agua_refrigerada_7";"energia_agua_refrigerada_8";"energia_agua_refrigerada_9";"energia_agua_refrigerada_10";"energia_agua_refrigerada_11";"energia_agua_refrigerada_12";"radiacion_global_fachada_1";"radiacion_global_fachada_2";"radiacion_global_fachada_3";"radiacion_global_fachada_4";"radiacion_global_fachada_5";"radiacion_global_fachada_6";"radiacion_global_fachada_7";"radiacion_global_fachada_8";"radiacion_global_fachada_9";"radiacion_global_fachada_10";"radiacion_global_fachada_11";"radiacion_global_fachada_12";"setpoint_temperatura_1";"setpoint_temperatura_2";"setpoint_temperatura_3";"setpoint_temperatura_4";"setpoint_temperatura_5";"setpoint_temperatura_6";"setpoint_temperatura_7";"setpoint_temperatura_8";"setpoint_temperatura_9";"setpoint_temperatura_10";"setpoint_temperatura_11";"setpoint_temperatura_12"
2021-09-24 16:00:00;2021-09-24 15:03:24.445267;14,3333333333333;30,5831470483333;27,7633333183333;0,0611299576666668;117,881710913027;26,79999924;1632490200;1632488400;1632486600;1632484800;1632483000;1632481200;1632479400;1632477600;1632475800;1632474000;1632472200;1632470400;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;1632477804.44527;1632476004.44527;1632474204.44527;1632472404.44527;1632470604.44527;1632468804.44527;1632467004.44527;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;8.72222222222222;7;7.38888888888889;9.61111111111111;8.72222222222222;8.33333333333333;5.94444444444445;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;31.284760475;32.1669918683333;31.7322553;31.533365885;31.1415707266667;30.7657022466667;29.6833302166667;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;28.133123715;28.08694426;27.978559175;27.7275559116667;27.5685275383333;27.3516546866667;27.3441514966667;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;0.0611907773333335;0.0605958695000002;0.0616265628333335;0.0632160361666669;0.0636196435000002;0.0641706985000002;0.0635585033333335;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;126.782852603123;100.176747750154;100;100;100;100;100;26.7499996833333;26.7833328266667;26.9338881183333;27;27;27;27;27;27;26.93333308;26.79999924;26.59999943
2021-09-24 16:30:00;2021-09-24 15:33:24.445267;13,3888888888889;29,867761295;27,57688109;0,0578798493333335;83,0121474548516;26,8333327;1632492000;1632490200;1632488400;1632486600;1632484800;1632483000;1632481200;1632479400;1632477600;1632475800;1632474000;1632472200;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;1632477804.44527;1632476004.44527;1632474204.44527;1632472404.44527;1632470604.44527;1632468804.44527;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;8.72222222222222;7;7.38888888888889;9.61111111111111;8.72222222222222;8.33333333333333;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;31.284760475;32.1669918683333;31.7322553;31.533365885;31.1415707266667;30.7657022466667;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;28.133123715;28.08694426;27.978559175;27.7275559116667;27.5685275383333;27.3516546866667;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;0.0611907773333335;0.0605958695000002;0.0616265628333335;0.0632160361666669;0.0636196435000002;0.0641706985000002;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;126.782852603123;100.176747750154;100;100;100;100;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27;27;27;27;27;27;26.93333308;26.79999924
2021-09-24 17:00:00;2021-09-24 16:03:24.445267;12,0555555555556;29,3997284583333;27,50163142;0,0585366771666668;62,7656517016667;26,89999962;1632493800;1632492000;1632490200;1632488400;1632486600;1632484800;1632483000;1632481200;1632479400;1632477600;1632475800;1632474000;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;1632477804.44527;1632476004.44527;1632474204.44527;1632472404.44527;1632470604.44527;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;8.72222222222222;7;7.38888888888889;9.61111111111111;8.72222222222222;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;31.284760475;32.1669918683333;31.7322553;31.533365885;31.1415707266667;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;28.133123715;28.08694426;27.978559175;27.7275559116667;27.5685275383333;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;0.0611907773333335;0.0605958695000002;0.0616265628333335;0.0632160361666669;0.0636196435000002;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;126.782852603123;100.176747750154;100;100;100;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27;27;27;27;27;27;26.93333308
2021-09-24 17:30:00;2021-09-24 16:33:24.445267;11,2222222222222;29,3219496433333;27,4373747516667;0,0597832790000002;44,9525553383333;26,89999962;1632495600;1632493800;1632492000;1632490200;1632488400;1632486600;1632484800;1632483000;1632481200;1632479400;1632477600;1632475800;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;1632477804.44527;1632476004.44527;1632474204.44527;1632472404.44527;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;8.72222222222222;7;7.38888888888889;9.61111111111111;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;31.284760475;32.1669918683333;31.7322553;31.533365885;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;28.133123715;28.08694426;27.978559175;27.7275559116667;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;0.0611907773333335;0.0605958695000002;0.0616265628333335;0.0632160361666669;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;126.782852603123;100.176747750154;100;100;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27;27;27;27;27;27
2021-09-24 18:00:00;2021-09-24 17:03:24.445267;9,83333333333333;29,4866561883333;27,4300397233333;0,0588306716666669;27,1776371016667;26,6867087683333;1632497400;1632495600;1632493800;1632492000;1632490200;1632488400;1632486600;1632484800;1632483000;1632481200;1632479400;1632477600;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;1632477804.44527;1632476004.44527;1632474204.44527;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;8.72222222222222;7;7.38888888888889;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;31.284760475;32.1669918683333;31.7322553;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;28.133123715;28.08694426;27.978559175;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;0.0611907773333335;0.0605958695000002;0.0616265628333335;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;126.782852603123;100.176747750154;100;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27;27;27;27;27
2021-09-24 18:30:00;2021-09-24 17:33:24.445267;6,44444444444445;29,5750007616667;27,4083331433333;0,0501460528333335;14,6756869155;26,5;1632499200;1632497400;1632495600;1632493800;1632492000;1632490200;1632488400;1632486600;1632484800;1632483000;1632481200;1632479400;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;1632477804.44527;1632476004.44527;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;8.72222222222222;7;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;31.284760475;32.1669918683333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;28.133123715;28.08694426;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;0.0611907773333335;0.0605958695000002;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;126.782852603123;100.176747750154;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27;27;27;27
2021-09-24 19:00:00;2021-09-24 18:03:24.445267;4,88888888888889;29,4584678016667;27,3834753033333;1,80411241501588e-16;1,251359423;26,5;1632501000;1632499200;1632497400;1632495600;1632493800;1632492000;1632490200;1632488400;1632486600;1632484800;1632483000;1632481200;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;1632477804.44527;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;8.72222222222222;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;31.284760475;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;28.133123715;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;0.0611907773333335;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;126.782852603123;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27;27;27
2021-09-24 19:30:00;2021-09-24 18:33:24.445267;3,94444444444444;29,2999995566667;27,3483333583333;1,80411241501588e-16;0,163972705666668;26,5;1632502800;1632501000;1632499200;1632497400;1632495600;1632493800;1632492000;1632490200;1632488400;1632486600;1632484800;1632483000;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;1632479604.44527;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;10.2222222222222;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;30.6177628833333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;28.158130645;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.0644104088333335;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;167.507311296834;26.5;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27;27
2021-09-24 20:00:00;2021-09-24 19:03:24.445267;3;28,6497294116667;27,3483578366667;1,80411241501588e-16;1,14723045877933e-15;26,5;1632504600;1632502800;1632501000;1632499200;1632497400;1632495600;1632493800;1632492000;1632490200;1632488400;1632486600;1632484800;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;1632481404.44527;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;10.6666666666667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;31.4744688666667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;28.19424184;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;0.0581588878333335;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;196.410575270874;26.5;26.5;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333;27
2021-09-24 20:30:00;2021-09-24 19:33:24.445267;3;28,3002694466667;27,340310415;1,80411241501588e-16;1,14723045877933e-15;26,5;1632506400;1632504600;1632502800;1632501000;1632499200;1632497400;1632495600;1632493800;1632492000;1632490200;1632488400;1632486600;1632503004.44527;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;1632483204.44527;3;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;13.7777777777778;28.6497294116667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;32.1353314716667;27.3483578366667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;28.1932713166667;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;0.0536523436666668;1.14723045877933e-15;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;199.710174708393;26.5;26.5;26.5;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667;26.9338881183333
2021-09-24 21:00:00;2021-09-24 20:03:24.445267;2,77777777777778;28,11666711;27,3220558183333;1,80411241501588e-16;1,14723045877933e-15;26,5;1632508200;1632506400;1632504600;1632502800;1632501000;1632499200;1632497400;1632495600;1632493800;1632492000;1632490200;1632488400;1632504804.44527;1632503004.44527;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;1632485004.44527;3;3;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;14.5555555555556;28.3002694466667;28.6497294116667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;30.4015827183333;27.340310415;27.3483578366667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;28.0167223616667;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;0.0630722656666668;1.14723045877933e-15;1.14723045877933e-15;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;116.483966673597;26.5;26.5;26.5;26.5;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333;26.7833328266667
2021-09-24 21:30:00;2021-09-24 20:33:24.445267;3,38888888888889;28,20000076;27,29151853;1,80411241501588e-16;1,14723045877933e-15;26,5;1632510000;1632508200;1632506400;1632504600;1632502800;1632501000;1632499200;1632497400;1632495600;1632493800;1632492000;1632490200;1632506604.44527;1632504804.44527;1632503004.44527;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;1632486804.44527;2.77777777777778;3;3;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;14.7222222222222;28.11666711;28.3002694466667;28.6497294116667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;29.7661231333333;27.3220558183333;27.340310415;27.3483578366667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;27.9179264716667;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;0.0668250145000002;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;120.315056530599;26.5;26.5;26.5;26.5;26.5;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924;26.7499996833333
2021-09-24 22:00:00;2021-09-24 21:03:24.445267;3,33333333333333;28,20000076;27,2839444466667;1,80411241501588e-16;1,14723045877933e-15;26,5;1632511800;1632510000;1632508200;1632506400;1632504600;1632502800;1632501000;1632499200;1632497400;1632495600;1632493800;1632492000;1632508404.44527;1632506604.44527;1632504804.44527;1632503004.44527;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;1632488604.44527;3.38888888888889;2.77777777777778;3;3;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;14.3333333333333;28.20000076;28.11666711;28.3002694466667;28.6497294116667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;30.5831470483333;27.29151853;27.3220558183333;27.340310415;27.3483578366667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;27.7633333183333;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;0.0611299576666668;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;117.881710913027;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327;26.79999924
2021-09-24 22:30:00;2021-09-24 21:33:24.445267;3;28,20000076;27,2844692866667;1,80411241501588e-16;1,14723045877933e-15;26,5;1632513600;1632511800;1632510000;1632508200;1632506400;1632504600;1632502800;1632501000;1632499200;1632497400;1632495600;1632493800;1632510204.44527;1632508404.44527;1632506604.44527;1632504804.44527;1632503004.44527;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;1632490404.44527;3.33333333333333;3.38888888888889;2.77777777777778;3;3;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;13.3888888888889;28.20000076;28.20000076;28.11666711;28.3002694466667;28.6497294116667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;29.867761295;27.2839444466667;27.29151853;27.3220558183333;27.340310415;27.3483578366667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;27.57688109;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;0.0578798493333335;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;83.0121474548516;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.6867087683333;26.89999962;26.89999962;26.8333327
2021-09-24 23:00:00;2021-09-24 22:03:24.445267;2,83333333333333;28,2825187033333;27,2475951516667;1,80411241501588e-16;1,14723045877933e-15;26,5;1632515400;1632513600;1632511800;1632510000;1632508200;1632506400;1632504600;1632502800;1632501000;1632499200;1632497400;1632495600;1632512004.44527;1632510204.44527;1632508404.44527;1632506604.44527;1632504804.44527;1632503004.44527;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;1632492204.44527;3;3.33333333333333;3.38888888888889;2.77777777777778;3;3;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;12.0555555555556;28.20000076;28.20000076;28.20000076;28.11666711;28.3002694466667;28.6497294116667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;29.3997284583333;27.2844692866667;27.2839444466667;27.29151853;27.3220558183333;27.340310415;27.3483578366667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;27.50163142;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;0.0585366771666668;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;62.7656517016667;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.6867087683333;26.89999962;26.89999962
2021-09-24 23:30:00;2021-09-24 22:33:24.445267;1,16666666666667;28,3611094166667;27,30440998;1,80411241501588e-16;1,14723045877933e-15;26,5;1632517200;1632515400;1632513600;1632511800;1632510000;1632508200;1632506400;1632504600;1632502800;1632501000;1632499200;1632497400;1632513804.44527;1632512004.44527;1632510204.44527;1632508404.44527;1632506604.44527;1632504804.44527;1632503004.44527;1632501204.44527;1632499404.44527;1632497604.44527;1632495804.44527;1632494004.44527;2.83333333333333;3;3.33333333333333;3.38888888888889;2.77777777777778;3;3;3.94444444444444;4.88888888888889;6.44444444444445;9.83333333333333;11.2222222222222;28.2825187033333;28.20000076;28.20000076;28.20000076;28.11666711;28.3002694466667;28.6497294116667;29.2999995566667;29.4584678016667;29.5750007616667;29.4866561883333;29.3219496433333;27.2475951516667;27.2844692866667;27.2839444466667;27.29151853;27.3220558183333;27.340310415;27.3483578366667;27.3483333583333;27.3834753033333;27.4083331433333;27.4300397233333;27.4373747516667;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;1.80411241501588e-16;0.0501460528333335;0.0588306716666669;0.0597832790000002;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;1.14723045877933e-15;0.163972705666668;1.251359423;14.6756869155;27.1776371016667;44.9525553383333;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.5;26.6867087683333;26.89999962
