"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";2,73898789999257;3,33753973474512;3,66995080558277;4,22050341520319;4,38046027938484;3,70813800297134;27,1353808229913
"ocupantes_conteo_robus3";-0,000652578605069273;0,00465109201437636;0,00343453991625439;0,00384675177670097;-0,00264428695180535;-0,000778771217249243;-0,00568525930303283
"temperatura_exterior";-0,00863298549176334;-0,00906544492758432;-0,00569704093989172;-0,00535613096905913;0,000872746378517993;-0,00239423941419926;0,00583750362372415
"energia_agua_refrigerada";-0,0196070090812968;-0,0326298430972442;-0,0389572845211541;-0,0392991488382816;-0,0420958783531796;-0,03359803100488;-0,0579385259291673
"radiacion_global_fachada";8,72527612887581e-05;0,0002129741331325;0,000268261474595726;0,000325048212777594;0,000440943275710261;0,000586233536479007;0,00232354612294847
"temperatura_interior_1";1,0115652500942;1,02907727459101;1,03582155275279;1,03155138813605;1,02474090957122;0,86655321964548;NA
"ocupantes_conteo_robus3_1";0,00416217031193116;-0,00575692177663495;-0,00407233322317219;-0,0037766424810808;0,00910020206554288;-0,00924900654878081;NA
"temperatura_exterior_1";-0,00155785926607742;0,00482365873662905;0,00236329218717493;0,00030636272153712;-2,6216881376448e-05;0,00105844018202098;NA
"energia_agua_refrigerada_1";-0,0114636364093155;-0,00983883487639462;-0,0109606317561234;-0,0150880095303407;0,00586874802379794;-0,00419395590228243;NA
"radiacion_global_fachada_1";-3,71839772902014e-05;-6,38479297994861e-06;-4,55984124793904e-05;-2,19774443325942e-05;-0,000211607510976204;-7,15832461340607e-05;NA
"temperatura_interior_2";-0,287798567847219;-0,289233940935418;-0,294271150653677;-0,303287456009125;-0,184652844992592;NA;NA
"ocupantes_conteo_robus3_2";-0,00390753206999243;0,00377014199938801;0,00457918339376013;0,00489706145416411;-0,01732794662135;NA;NA
"temperatura_exterior_2";0,0199186198380543;0,0156279729151507;0,0131799205504741;0,0223872745054482;-7,20028626215849e-05;NA;NA
"energia_agua_refrigerada_2";-0,0584141242503298;-0,0497663076806321;-0,0518671163139882;-0,0514127170099916;-0,00104793792008181;NA;NA
"radiacion_global_fachada_2";-0,000153789717565259;-0,000330710925965529;-0,000279332344193693;-0,000300001562719482;0,000231955687257967;NA;NA
"temperatura_interior_3";0,136300053007062;0,118014086360303;0,101308352179901;0,124196556691164;NA;NA;NA
"ocupantes_conteo_robus3_3";-0,0138412703397491;-0,0154888304248907;-0,0169622914794371;-0,0204306173184713;NA;NA;NA
"temperatura_exterior_3";-0,00820437139520345;-0,0156677644121968;-0,00496481413326058;-0,0226204032656775;NA;NA;NA
"energia_agua_refrigerada_3";0,0996421876794393;0,105359140870266;0,103470919928545;0,0956735565589785;NA;NA;NA
"radiacion_global_fachada_3";0,000589844140526126;0,000712316715092585;0,000626374899745915;0,00044248072216784;NA;NA;NA
"temperatura_interior_4";-0,0411565182292503;-0,0404627828385777;0,029495384861067;NA;NA;NA;NA
"ocupantes_conteo_robus3_4";-0,00238658736263436;-0,00392363618287554;-0,00127585453768636;NA;NA;NA;NA
"temperatura_exterior_4";-0,00201645914486499;0,0136135054061189;-0,00983651037434459;NA;NA;NA;NA
"energia_agua_refrigerada_4";0,0335803376442824;0,0209110845190349;-0,000254746068158137;NA;NA;NA;NA
"radiacion_global_fachada_4";-0,000365811297344258;-0,000286435798738031;-0,000309515687282337;NA;NA;NA;NA
"temperatura_interior_5";0,00956727904825657;0,068991777155284;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_5";0,0159613385962112;0,00407389968909566;NA;NA;NA;NA;NA
"temperatura_exterior_5";0,00582148910373113;-0,0161239105646004;NA;NA;NA;NA;NA
"energia_agua_refrigerada_5";0,0695364820633204;-0,0316212911949192;NA;NA;NA;NA;NA
"radiacion_global_fachada_5";-7,46853705908692e-06;-0,000145289201315427;NA;NA;NA;NA;NA
"temperatura_interior_6";0,0781212127988717;NA;NA;NA;NA;NA;NA
"ocupantes_conteo_robus3_6";-0,0112099326190591;NA;NA;NA;NA;NA;NA
"temperatura_exterior_6";-0,00963431053566391;NA;NA;NA;NA;NA;NA
"energia_agua_refrigerada_6";-0,150133488033689;NA;NA;NA;NA;NA;NA
"radiacion_global_fachada_6";-0,000243405264733295;NA;NA;NA;NA;NA;NA
"R2";0,830377916928286;0,819165196801653;0,817243434487963;0,813309531229167;0,806982773904428;0,800797617717218;0,159259767186498
"MAE";0,12761590481591;0,130790170538316;0,130762022477378;0,132864376406894;0,134817003317289;0,139304195252951;0,330149551036128
"Media residuales";-1,67679247261995e-17;-7,86181374942972e-18;-4,16432198068296e-19;-6,36493894818234e-17;2,19473621796297e-18;-1,07466646379486e-18;-2,58504224908689e-17
"Desviación típica residuales";0,181889515780077;0,187726259981129;0,188758792833712;0,191067375400431;0,196277752192113;0,201452838541045;0,41795776575232
"Número de variables";35;30;25;20;15;10;5
"p-valor del parámetro menos significativo";0,98064712590089;0,983819959439712;0,992335373415285;0,983220542478657;0,998512818797173;0,903751412244638;0,509185661837492
