"";"Iteración 1";"Iteración 2";"Iteración 3";"Iteración 4";"Iteración 5";"Iteración 6";"Iteración 7"
"(Intercept)";27,1353808229913;3,70813800297134;4,38046027938484;4,22050341520319;3,66995080558277;3,33753973474512;2,73898789999257
"ocupantes_conteo_robus3";-0,00568525930303283;-0,000778771217249243;-0,00264428695180535;0,00384675177670097;0,00343453991625439;0,00465109201437636;-0,000652578605069273
"temperatura_exterior";0,00583750362372415;-0,00239423941419926;0,000872746378517993;-0,00535613096905913;-0,00569704093989172;-0,00906544492758432;-0,00863298549176334
"energia_agua_refrigerada";-0,0579385259291673;-0,03359803100488;-0,0420958783531796;-0,0392991488382816;-0,0389572845211541;-0,0326298430972442;-0,0196070090812968
"radiacion_global_fachada";0,00232354612294847;0,000586233536479007;0,000440943275710261;0,000325048212777594;0,000268261474595726;0,0002129741331325;8,72527612887581e-05
"temperatura_interior_1";NA;0,86655321964548;1,02474090957122;1,03155138813605;1,03582155275279;1,02907727459101;1,0115652500942
"ocupantes_conteo_robus3_1";NA;-0,00924900654878081;0,00910020206554288;-0,0037766424810808;-0,00407233322317219;-0,00575692177663495;0,00416217031193116
"temperatura_exterior_1";NA;0,00105844018202098;-2,6216881376448e-05;0,00030636272153712;0,00236329218717493;0,00482365873662905;-0,00155785926607742
"energia_agua_refrigerada_1";NA;-0,00419395590228243;0,00586874802379794;-0,0150880095303407;-0,0109606317561234;-0,00983883487639462;-0,0114636364093155
"radiacion_global_fachada_1";NA;-7,15832461340607e-05;-0,000211607510976204;-2,19774443325942e-05;-4,55984124793904e-05;-6,38479297994861e-06;-3,71839772902014e-05
"temperatura_interior_2";NA;NA;-0,184652844992592;-0,303287456009125;-0,294271150653677;-0,289233940935418;-0,287798567847219
"ocupantes_conteo_robus3_2";NA;NA;-0,01732794662135;0,00489706145416411;0,00457918339376013;0,00377014199938801;-0,00390753206999243
"temperatura_exterior_2";NA;NA;-7,20028626215849e-05;0,0223872745054482;0,0131799205504741;0,0156279729151507;0,0199186198380543
"energia_agua_refrigerada_2";NA;NA;-0,00104793792008181;-0,0514127170099916;-0,0518671163139882;-0,0497663076806321;-0,0584141242503298
"radiacion_global_fachada_2";NA;NA;0,000231955687257967;-0,000300001562719482;-0,000279332344193693;-0,000330710925965529;-0,000153789717565259
"temperatura_interior_3";NA;NA;NA;0,124196556691164;0,101308352179901;0,118014086360303;0,136300053007062
"ocupantes_conteo_robus3_3";NA;NA;NA;-0,0204306173184713;-0,0169622914794371;-0,0154888304248907;-0,0138412703397491
"temperatura_exterior_3";NA;NA;NA;-0,0226204032656775;-0,00496481413326058;-0,0156677644121968;-0,00820437139520345
"energia_agua_refrigerada_3";NA;NA;NA;0,0956735565589785;0,103470919928545;0,105359140870266;0,0996421876794393
"radiacion_global_fachada_3";NA;NA;NA;0,00044248072216784;0,000626374899745915;0,000712316715092585;0,000589844140526126
"temperatura_interior_4";NA;NA;NA;NA;0,029495384861067;-0,0404627828385777;-0,0411565182292503
"ocupantes_conteo_robus3_4";NA;NA;NA;NA;-0,00127585453768636;-0,00392363618287554;-0,00238658736263436
"temperatura_exterior_4";NA;NA;NA;NA;-0,00983651037434459;0,0136135054061189;-0,00201645914486499
"energia_agua_refrigerada_4";NA;NA;NA;NA;-0,000254746068158137;0,0209110845190349;0,0335803376442824
"radiacion_global_fachada_4";NA;NA;NA;NA;-0,000309515687282337;-0,000286435798738031;-0,000365811297344258
"temperatura_interior_5";NA;NA;NA;NA;NA;0,068991777155284;0,00956727904825657
"ocupantes_conteo_robus3_5";NA;NA;NA;NA;NA;0,00407389968909566;0,0159613385962112
"temperatura_exterior_5";NA;NA;NA;NA;NA;-0,0161239105646004;0,00582148910373113
"energia_agua_refrigerada_5";NA;NA;NA;NA;NA;-0,0316212911949192;0,0695364820633204
"radiacion_global_fachada_5";NA;NA;NA;NA;NA;-0,000145289201315427;-7,46853705908692e-06
"temperatura_interior_6";NA;NA;NA;NA;NA;NA;0,0781212127988717
"ocupantes_conteo_robus3_6";NA;NA;NA;NA;NA;NA;-0,0112099326190591
"temperatura_exterior_6";NA;NA;NA;NA;NA;NA;-0,00963431053566391
"energia_agua_refrigerada_6";NA;NA;NA;NA;NA;NA;-0,150133488033689
"radiacion_global_fachada_6";NA;NA;NA;NA;NA;NA;-0,000243405264733295
"R2";0,159259767186498;0,800797617717218;0,806982773904428;0,813309531229167;0,817243434487963;0,819165196801653;0,830377916928286
"MAE";0,330149551036128;0,139304195252951;0,134817003317289;0,132864376406894;0,130762022477378;0,130790170538316;0,12761590481591
"Media residuales";-2,58504224908689e-17;-1,07466646379486e-18;2,19473621796297e-18;-6,36493894818234e-17;-4,16432198068296e-19;-7,86181374942972e-18;-1,67679247261995e-17
"Desviación típica residuales";0,41795776575232;0,201452838541045;0,196277752192113;0,191067375400431;0,188758792833712;0,187726259981129;0,181889515780077
"Número de variables";5;10;15;20;25;30;35
"p-valor del parámetro menos significativo";0,509185661837492;0,903751412244638;0,998512818797173;0,983220542478657;0,992335373415285;0,983819959439712;0,98064712590089
